id_obj,id_kot,id_kec,id_kel,index_risk,index_population,index_infenv,scvi,scvi_cat,population_density,vulnerable_employment_population,population_growth,population
117,Jakarta Selatan,Pasar Minggu,Pasar Minggu,5.66556363184662,-2.256066051249146,-2.0566693733501253,1.3528282072473488,High,14850.991224,0.022924389102817865,-0.035451046898441065,29575
118,Jakarta Selatan,Pasar Minggu,Jati Padang,5.673983464267232,-1.250111167614673,-1.1688861112074105,3.254986185445149,High,18618.8935737,0.023193318000242102,-0.037398689429211936,44657
119,Jakarta Selatan,Pasar Minggu,Pejaten Barat,5.316650281706452,-1.62758422461956,0.10899662243701369,3.798062679523906,High,14489.4231283,0.02474425321940065,-0.03634125801645397,44628
120,Jakarta Selatan,Pasar Minggu,Kebagusan,7.16883301384507,0.07780635130881014,-2.5370219180503026,4.709617447103578,Very High,20522.5279432,0.03307322287546766,-0.018632472756024615,57094
121,Jakarta Selatan,Kebayoran Lama,Kebayoran Lama Utara,3.713385970012794,-1.9113852873080721,-1.7669594852178645,0.03504119748685719,Medium,22248.4299057,0.027965537418534733,-0.0391944402929308,51430
122,Jakarta Selatan,Kebayoran Lama,Pondok Pinang,4.335709017637781,-1.7768055109402243,-5.005850035343093,-2.4469465286455363,Low,10096.8903875,0.019317153434800494,-0.029804087983591486,68588
123,Jakarta Selatan,Kebayoran Lama,Cipulir,7.754315397894906,0.5086642846030235,-1.3035399145124522,6.959439767985478,Very High,29051.4596305,0.02863102879149092,-0.023535720669725316,49164
124,Jakarta Selatan,Kebayoran Lama,Grogol Utara,1.0932193464674056,-2.397819332282958,-2.039896055786006,-3.344496041601559,Low,15214.0088669,0.03728074771055554,-0.049114651246291365,50318
125,Jakarta Selatan,Kebayoran Lama,Grogol Selatan,2.4474811468215236,-1.1931304805933225,0.41567113903945185,1.670021805267653,High,18580.4106486,0.02436154179656048,-0.02916191200710029,53599
126,Jakarta Selatan,Kebayoran Lama,Kebayoran Lama Selatan,1.282261225386255,-1.6486962163284853,0.39046401767050054,0.024029026728270342,Medium,23634.9392406,0.028979095232828225,-0.04433074249111432,48936
127,Jakarta Selatan,Cilandak,Cilandak Barat,5.956318839898142,-4.229802794450616,-2.109472454815331,-0.38295640936780506,Medium,10177.8986983,0.014791052540315588,-0.04780958732275838,59968
128,Jakarta Selatan,Cilandak,Lebak Bulus,6.265272209811293,-1.725360966393584,-4.102946315079958,0.43696492833775125,Medium,10605.107315,0.014376668720476484,-0.023186882488963632,46467
129,Jakarta Selatan,Cilandak,Pondok Labu,7.88681141161334,-1.0693992001729775,-5.52753035512125,1.289881856319112,High,16259.823081,0.025512216386772674,-0.031893495158870855,56793
130,Jakarta Selatan,Cilandak,Gandaria Selatan,4.6331401336042015,-1.4469562027096603,-2.1472764350854425,1.0389074958090987,Medium,16381.9662862,0.021886699304727034,-0.033076156373435715,26193
131,Jakarta Selatan,Cilandak,Cipete Selatan,5.67718154053861,-2.1183612436818944,0.3604251629798262,3.9192454598365423,High,13208.7580243,0.021258278145695364,-0.04109547402656616,31547
132,Jakarta Selatan,Kebayoran Baru,Melawai,0.1653873452046576,-3.5722532780645,-0.3817886615824153,-3.788654594442258,Low,2197.53006232,0.005671077504725898,-0.0421912215039129,2815
133,Jakarta Selatan,Kebayoran Baru,Gunung,-0.09913961032103719,-4.917830670137719,-1.5243708255621458,-6.541341106020902,Very Low,7378.42494727,0.017745893902208796,-0.057360861759425494,10501
134,Jakarta Barat,Kebon Jeruk,Duri Kepa,1.040534824293721,0.9826934807412814,0.45474555949057494,2.477973864525577,High,19723.0377076,0.030534351145038167,-0.025948345439870863,72411
135,Jakarta Barat,Kebon Jeruk,Kedoya Utara,1.1438925108676958,0.5712061135887806,1.0315196047854045,2.7466182292418813,High,18731.5201398,0.029934387651317233,-0.01755266665512645,56755
136,Jakarta Barat,Kebon Jeruk,Kedoya Selatan,1.0981303251162766,1.609292073496088,0.4130354895736158,3.1204578881859804,High,15210.0928256,0.039993211901798845,-0.02035013105187676,39619
137,Jakarta Barat,Kali Deres,Kalideres,-0.5897271182485948,0.5063925151330999,1.9365495718747157,1.8532149687592208,High,16354.8623144,0.031085111264051387,-0.015243087126276943,92060
138,Jakarta Barat,Kali Deres,Semanan,-1.3313729178705302,1.6556155729210358,-0.18828999978981942,0.13595265526068612,Medium,17347.3669576,0.03265793222035442,-0.010498771420365701,93024
139,Jakarta Barat,Kali Deres,Tegal Alur,0.04640188019311142,2.6307666099966784,2.375005463648926,5.052173953838716,Very High,19173.4462366,0.03480228883764625,-0.01717373126648228,106960
140,Jakarta Barat,Kali Deres,Kamal,-5.18710680323451,6.804759755015102,1.7158577529331593,3.333510704713751,High,14831.4057197,0.07062629493657083,-0.00238111718695923,72063
141,Jakarta Barat,Kali Deres,Pegadungan,-2.2698581110419154,3.0749595603767634,0.9057458460701846,1.7108472954050327,High,13132.0982692,0.03799375739963405,0.005147953386890817,99969
142,Jakarta Barat,Palmerah,Palmerah,-2.012194772649513,1.1681423512531361,1.4432369329039096,0.5991845115075329,Medium,34671.1290949,0.04305422061401029,-0.026656317992696552,76498
143,Jakarta Barat,Palmerah,Slipi,-0.8198678141322371,-1.1562455981442064,0.5196874443866428,-1.4564259678898006,Medium,20473.9665765,0.02980525853608141,-0.02922441040602966,19964
144,Jakarta Barat,Palmerah,Kota Bambu Utara,-0.13017452844060035,1.8606448839393872,2.4131276588821144,4.143598014380901,High,45599.3454025,0.03539551679498535,-0.041789250577330676,30290
145,Jakarta Barat,Palmerah,Jati Pulo,-0.13218551556952096,2.0055861722262325,3.8605504184187467,5.733951075075458,Very High,41615.0861833,0.030823438841678263,-0.035784341198229,34409
146,Jakarta Barat,Palmerah,Kemanggisan,0.14767054415802028,-0.26993310633198125,0.6068683978743055,0.4846058357003445,Medium,18092.7770335,0.03787380658057389,-0.02610631926492795,38051
147,Jakarta Barat,Palmerah,Kota Bambu Selatan,-0.37449161533879727,0.9452027358371271,1.2581548773061952,1.8288659978045252,High,45496.3301971,0.040948275862068964,-0.057678697806086345,26630
148,Jakarta Barat,Kembangan,Kembangan Utara,0.7076741490668883,0.8207741517457945,-2.686227461137644,-1.1577791603249614,Medium,16704.833412,0.01932308121978041,-0.0067314671182774274,69794
149,Jakarta Barat,Kembangan,Meruya Utara,-2.292819259881276,-0.33978867801149526,0.2558773390537333,-2.376730598839038,Low,13129.4616273,0.017084481778011112,-0.018532955350815023,55394
150,Jakarta Barat,Kembangan,Meruya Selatan,-1.958276350558096,1.9676321845509215,-0.2537797964310081,-0.24442396243818265,Medium,13730.9432695,0.03527781277560791,-0.004687315981627606,42256
151,Jakarta Barat,Kembangan,Srengseng,-1.9241916058381483,-0.14192339028265097,-1.15054278174707,-3.2166577778678693,Low,12730.5693913,0.02698046984345729,-0.017813299016204685,58005
152,Jakarta Barat,Kembangan,Joglo,1.7906141002039442,1.6802426505216153,-1.1470284497615784,2.323828300963981,High,11855.0469009,0.03683976919662672,-0.019044196909809557,51870
153,Jakarta Barat,Kembangan,Kembangan Selatan,0.6902289397891104,0.19192561096201913,-1.6109707799977802,-0.7288162292466507,Medium,7527.42866031,0.023566406388015406,-0.01915852742299023,33943
154,Jakarta Selatan,Tebet,Tebet Timur,0.6597128262103478,-1.9209873529552994,0.6210880356235495,-0.6401864911214021,Medium,15757.7793859,0.014002968827313212,-0.026468116889179348,20855
155,Jakarta Selatan,Tebet,Tebet Barat,1.4670994098092354,-2.713357424426406,0.465199428930714,-0.7810585856864565,Medium,14997.4816324,0.018466495910104932,-0.04093041438623925,24533
156,Jakarta Selatan,Tebet,Menteng Dalam,-0.24734125164017695,-1.2432324696392087,-0.5152118837887769,-2.0057856050681626,Low,17615.7941349,0.033986339057015466,-0.03868907033762962,42737
157,Jakarta Selatan,Tebet,Kebon Baru,3.115571487876313,-0.04179732512663675,-3.579822036382253,-0.5060478736325762,Medium,33031.5651404,0.03535575048732943,-0.036937790200743836,41690
158,Jakarta Selatan,Tebet,Bukit Duri,1.2397469343191974,-0.38649585947590415,-5.032465616108094,-4.1792145412648,Low,37504.2933074,0.031546116851578494,-0.04189625688770663,40340
159,Jakarta Selatan,Tebet,Manggarai Selatan,-0.617991298486904,0.6023828076410428,2.4143939600779953,2.398785469232134,High,49000.1781462,0.03571827628589519,-0.03476068740235762,27185
160,Jakarta Selatan,Tebet,Manggarai,1.1767789684871044,0.5797427487681228,1.9969685750333404,3.753490292288568,High,31927.6508127,0.04133503747167838,-0.03978974735771209,33978
161,Jakarta Selatan,Setia Budi,Setia Budi,1.2059280838630453,-3.3478526169251817,-2.8742058225026828,-5.016130355564819,Low,5008.71081666,0.022689540675152185,-0.03698435277382646,3385
162,Jakarta Selatan,Setia Budi,Karet Semanggi,-0.3772525181142726,-3.2480032647952912,-0.6712171270057605,-4.296472909915325,Low,3754.19014866,0.0211952744961779,-0.009381413075344474,3379
163,Jakarta Selatan,Setia Budi,Karet Kuningan,0.9957867682189887,-2.106080950260199,1.3026148633528558,0.1923206813116456,Medium,11405.3342165,0.0119680137390651,-0.01692409644695927,19285
164,Jakarta Selatan,Setia Budi,Karet,-1.2232326805349596,-3.838225106959751,-0.17809985201579914,-5.239557639510509,Low,11013.1392493,0.026151315789473686,-0.030470670881629785,11041
165,Jakarta Selatan,Setia Budi,Menteng Atas,-1.1263306061151577,-0.3573828691516759,0.7972968387774533,-0.6864166364893802,Medium,31159.486437,0.04083422057994614,-0.039028416460323075,32600
166,Jakarta Selatan,Setia Budi,Pasar Manggis,0.27537628560799077,-1.1854460150604127,2.7990109574851365,1.8889412280327145,High,40997.9320593,0.02415949712689292,-0.03561142445697828,32145
167,Jakarta Selatan,Setia Budi,Guntur,-0.5502644388001816,-2.4062654139789377,-3.8422536028595413,-6.79878345563866,Very Low,6668.36891338,0.019978517722878626,-0.037463976945244955,4342
168,Jakarta Selatan,Setia Budi,Kuningan Timur,0.6482830311216212,-2.8473136093624554,0.889557538547104,-1.3094730396937304,Medium,3217.92211947,0.028819250139899274,-0.03422474712484412,6970
169,Jakarta Selatan,Mampang Prapatan,Mampang Prapatan,-0.7486498673886017,-2.739096218382285,-0.030906008102680793,-3.5186520938735675,Low,27266.0854004,0.02392499191723246,-0.05377329666972197,21679
170,Jakarta Selatan,Mampang Prapatan,Bangka,5.1316383938165355,-2.8085923848972527,-0.3030518064044541,2.0199942025148285,High,8000.43371639,0.03546773593485181,-0.04876039247996405,25400
171,Jakarta Selatan,Mampang Prapatan,Pela Mampang,3.9680872905958497,-1.1290599075914178,-0.05367763033999129,2.7853497526644406,High,26017.6547414,0.04276388029307832,-0.04913852903129043,50718
172,Jakarta Selatan,Kebayoran Baru,Kramat Pela,0.28587970667495854,-2.343944434857608,-0.24013273935200535,-2.298197467534655,Low,13403.3435754,0.02762850097995827,-0.03875968992248062,16740
173,Jakarta Selatan,Kebayoran Baru,Selong,-1.6144908952234127,-5.28114336710143,-1.2453015240823495,-8.140935786407193,Very Low,2092.66473669,0.01450653983353151,-0.06566604127579738,2988
174,Jakarta Selatan,Kebayoran Baru,Rawa Barat,-2.7576388871054895,-0.88260027438803,0.2658221946002933,-3.3744169668932265,Low,9776.97912236,0.02567908564643016,-0.03405152930540907,6411
175,Jakarta Selatan,Kebayoran Baru,Senayan,-3.0051001269772835,-2.875617551385571,-1.1106476797515392,-6.991365358114393,Very Low,2095.14984643,0.02412683823529412,-0.06394260761072988,3001
176,Jakarta Selatan,Kebayoran Baru,Pulo,0.5561288337522942,-2.753082078983482,-1.6892351819798215,-3.8861884272110094,Low,5771.73572957,0.009191712868398016,-0.04280564734154401,6373
177,Jakarta Selatan,Kebayoran Baru,Petogogan,-1.0385044268146455,-1.9399392653918475,-0.6355786957105556,-3.6140223879170486,Low,15484.1735407,0.02854215456674473,-0.04495685592052788,13171
178,Jakarta Selatan,Kebayoran Baru,Gandaria Utara,1.9446267503181343,-0.9377118530226743,1.8284472996243537,2.8353621969198137,High,30304.1512686,0.01935367719866775,-0.030915601023017904,47364
